,MK,Kb,MKH,cont,Ka
RPL36AP35,0,0,0,0,0
RP11-3J11.1,0,0,0.118962,0,0
CH507-42P11.1,0.0550784,0,0.107529,0.149245,0.135138
MYH4,0,0,0,0,0
KB-1183D5.14,0,0,0,0,0
IGHV1OR15-2,0,0,0,0,0
GGT2,0.024515,0,0,0,0
ACTL7B,0.00695101,0.00654361,0,0.00595606,0
CH507-42P11.2,0,0,0,0,0
CH507-42P11.3,0,0,0,0,0
IGHV3OR15-7,0,0,0,0,0
ACTL7A,0,0.00820425,0,0,0.0139027
FABP1,0,0,0,0,0
RP11-83M16.3,0,0,0,0,0
RP11-137H2.4,0.242137,0.441548,0.424336,0.325708,0.463744
RP11-83M16.1,0,0,0,0,0
RP11-83M16.4,0.0542885,0,0,0,0
IGHD5OR15-5A,0,0,0,0,0
RP11-83M16.6,0,0,0,0,0
IGHD4OR15-4A,0,0,0,0,0
CTD-3066C23.1,0,0,0,0,0
LINC00682,0,0,0,0.0322839,0.0111468
BCL9P1,0,0,0,0,0
CTD-2308B18.4,0,0,0,0,0
RP11-357D18.1,0,0,0,0,0
CTD-2308B18.1,0,0,0,0,0
LINC01669,0,0,0,0,0
ENSG00000277649,0,0,0,0,0
POM121L8P,0,0,0,0,0
RP4-676L2.1,0.277854,0.35233,0.967807,0.552593,1.04629
KB-1183D5.13,0,0,0,0,0
AP000696.2,0,0,0,0,0
RHOJ,0.911581,0.952417,1.92193,1.35153,2.00411
RP11-486M23.1,0.0325105,0,0.130439,0.0795366,0.0264269
RP11-83M16.5,0,0,0,0,0
ENTPD5,4.80784,5.0414,5.43919,5.31817,6.41898
RP11-434D9.1,0,0.0198141,0,0.0274228,0
CTD-2308B18.2,0,0,0,0.112871,0
WDR54,27.7712,34.4028,24.506,22.1085,17.7696
RP11-486M23.2,0,0,0.0399293,0.0313489,0
ZBTB26,1.68029,2.03898,1.54642,1.53547,2.06929
CTD-2308B18.3,0,0,0,0,0.0195329
CTC-297N7.7,0,0,0,0,0
AC069282.6,1.61691,1.9735,1.5367,2.18554,1.57888
IGHD1OR15-1A,0,0,0,0,0
RP11-730A19.5,0.0743551,0.0740583,0.0259187,0.0203326,0.0200384
AC005932.1,0.161876,0.337394,0.252039,0.514979,0.35251
RP11-434D9.2,0,0,0,0,0
HUS1,9.50937,10.9551,10.8264,11.4391,9.26463
BTBD7P1,0,0,0,0,0
ENSG00000275008,0,0,0,0,0
MYHAS,0,0,0,0,0
DDX49,17.6337,16.0659,15.0626,19.1227,19.0922
FAM30B,0,0,0,0,0
RP11-706O15.3,0.163725,1.02318,0.0635311,0.652042,0.0881883
ENSG00000277398,0,0,0,0,0
CH507-42P11.7,0,0,0,0,0
SEC14L6,0.280162,0.195265,0.0187104,0.0153032,0.00381326
RP11-434J24.3,0,0,0,0,0
CSTF3-AS1,1.3607,1.22365,1.35751,1.38364,1.12564
RP11-1360M22.2,0,0,0,0,0
SUGP1,12.2654,13.5463,13.1529,13.9113,14.3463
L29074.3,0,0,0,0,0
EIF2S1,93.7579,98.2252,92.8905,94.0846,95.8636
RP11-402D21.3,0,0,0,0,0
ENSG00000280559,0,0,0,0,0
LINC00294,4.62051,4.04887,4.08374,4.25543,4.3164
THBS1,198.375,237.194,170.087,232.835,188.951
STS,13.4261,13.1397,7.47779,9.51742,6.72153
SMAD9-IT1,0,0,0,0.0314218,0
PIGCP1,6.59227,5.82809,6.53431,7.61355,6.69152
SPINK1,0,0,0.362575,0.0310918,0.153851
RPL29P23,0.0606025,2.35452e-07,0.0965708,0.0505718,0.0682306
SMAD9,0.54761,0.667533,0.1905,0.335214,0.261611
SIRPAP1,0,0,0,0,0
FGFBP3,0.36015,0.616148,0.580509,0.722675,0.666332
RP11-486M23.3,0.0366438,0.0118744,0.190367,0.118837,0.128863
CSTF3,21.9717,20.5548,19.9444,20.7281,22.9121
ENSG00000226979,0.114543,0.0299253,0.0797907,0.0771588,0.00852368
BMP7,0,0,0,0,0
RP11-402D21.2,0.321133,0.436012,0.203255,0.0941915,0.384966
RPL17P33,0.0385797,0,0.0402998,0,0
FAM230B,0,0,0,0,0
ENSG00000275062,0,0,0,0,0
RP11-355O1.11,1.18024,1.63086,1.03738,1.29158,1.33989
LINC00589,0.0377492,0.0443256,0.872242,0.486297,0.404786
EGLN3,1.71377,3.06816,4.727,7.13903,6.62337
AC133965.1,0,0,0,0,0.10888
RASGEF1C,0,0,0,0,0.0216237
RP11-393N4.1,0,0,0,0,0
RP11-815N9.2,0,0.0437379,0.0470027,0.0376024,0.0574044
LINC02099,0,0,0.0282395,0,0
CTC-327F10.1,0,0,0,0,0
C4orf45,0.0308955,0.0305465,0,0.0363258,0.0124728
RP11-706O15.5,0,0,0,0.0169431,0
RP11-393N4.2,0.0465697,0.0449173,0.0927509,0.0599726,0.0957218
ENSG00000197766,3.14887,2.91004,4.45528,2.42582,3.55965
FABP5P12,0,0,0,0,0
PAICSP2,0,0,0,0,0
RP11-94H18.1,0.00966346,0.057921,0.217878,0.0698005,0.112019
CTD-2033D15.1,2.21002e-28,0.122771,0.0533598,0.286532,1.53304e-14
FNIP2,2.86578,3.18892,5.48709,3.841,4.14952
ROR2,0,0,0,0.0390129,0
CTD-2033D15.2,3.50987,4.37541,2.40414,6.64473,4.14719
CTD-2033D15.3,1.62715,2.45561,1.21404,2.40936,1.93041
ATP6V1D,59.3402,59.1521,68.0964,60.5905,66.2997
CTC-327F10.5,0,0,0,0,0.0378872
RP11-457P14.5,0,0,0,0.0184452,0
RP11-475B2.1,0,0,0,0,0
C5orf46,0,0.642158,0.855261,0.829402,2.53495
RPL36AP36,0.0930349,0,0,0.0778103,0.0759485
BCAR1P1,0,0,0,0,0
RPL6P30,0,0,0,0,0.0450726
RP11-457P14.6,0,0,0,0,0
FMR1-AS1,0.0220814,0.0106865,0.00989361,0,0.0198152
CH507-42P11.6,0,0.00525797,0.00525012,0,0
ENSG00000073969,8.48145,9.26678,12.0282,11.3649,12.7684
LOXL1-AS1,3.32487,7.5444,3.19048,5.88738,5.34789
RNF216-IT1,0,0,0,0,0
RP11-516J2.1,0,0,0,0,0
SCGB3A2,0,0,0,0,0
AC012146.7,11.9672,8.11742,5.5803,7.4719,6.11969
MORF4,0,0,0.0150018,0.010983,0.0232174
RP11-361H10.5,0,0,0,0,0
MTND4P3,0,0,0,0,0
RNF216,10.2115,12.57,11.7138,13.0273,9.42187
ENSG00000226858,0,0,0,0,0
RP5-945F2.3,0,0,0,0,0
SLC24A2,0.0106823,0.0121398,0.0049175,0.00486032,0.00370136
RANP6,0,0.0464037,0.0773893,0.0556425,0.0752474
RP11-173D3.4,0,0,0,0,0
RP11-521C10.1,0,0,0,0,0
RP11-173D3.1,0,0,0,0,0.0356521
RP5-859M6.1,0,0,0,0,0
ENSG00000226275,0,0,0,0,0
ENSG00000277271,0,0,0,0,0
ZNF232,4.61976,3.63919,4.65269,4.14279,5.0305
RP5-1021I20.5,0.165602,0.234222,0.401068,0.172409,0.149565
RP11-161D15.1,0,0,0.035837,0,0
RP11-43D2.2,0.0206357,0,0,0,0.0167022
RP11-161D15.2,0,0,0,0,0
CTC-327F10.4,0,0,0,0,0
BMS1P15,0,0,0.0130753,0.00963219,0
RP11-410K21.2,0.069332,0.0222743,0.11761,0.0373117,0.0569132
ZNF608,6.69929,6.88827,6.49393,6.91013,5.61262
BMP7-AS1,0,0,0,0,0
LOXL1,3.41809,8.21311,2.59058,5.06937,3.03409
RP11-578F21.9,0,0,0,0,0
RP11-159H10.1,0,0,0,0,0
RP11-161D15.3,0,0,0,0,0
RP11-539D10.1,0,0,0,0,0
CTD-2192J16.22,1.30255,1.38244,1.87515,1.68268,1.11214
NDUFA5P8,0,0,0,0,0
RP11-449M6.3,0,0,0,0,0
EGLN3-AS1,0,0,0,0,0
SDCBPP2,0.0210306,0.020464,0,0,0.0346644
RP11-492D6.3,0.00613886,0,0,0,0
SPTSSA,10.5132,10.5425,15.9166,17.6888,17.0989
RP11-11A9.1,0,0,0,0,0
NDUFA5P1,0,0,0,0,0
SUMO2P20,0,0,0,0.226405,0
KLB,0.0797341,0.0945067,0.0707746,0.101487,0.143857
PLA2G2D,0,0,0,0,0
ENSG00000232810,0.0427145,0,0.0253524,0.0215606,0.0209321
AL356806.3,0,0,0,0,0
RP11-11A9.2,0,0,0,0,0
LINC00525,0.190318,0.135016,0.144608,0.466153,0.0424369
DHPS,37.7986,35.1441,30.6678,41.9983,37.0349
ENSG00000280748,0,0,0,0,0
ENSG00000281901,0,0,0,0,0
PKD1L1,0.0369271,0.032623,0.0316138,0.0127028,0.0290665
AC073135.7,0,0,0,0,0
RP11-46I8.4,0,0,0,0,0
RP11-706O15.7,0,0,0,0,0
PRDM14,0,0,0,0,0
RP11-578F21.13,0,0,0,0,0
CH507-42P11.8,0.609777,0.783998,0.403164,0.869334,0.941293
AC055876.1,0,0,0,0,0
AC073135.8,0,0,0,0,0
ENSG00000273688,0,0,0,0,0
RP11-578F21.10,0,0,0,0,0
LINC01169,0,0,0,0,0
PDCD6IPP2,0.273987,0.486263,0.618489,0.51614,0.545303
AC002985.3,0,0.0342743,0.0647816,0,0.0326859
RP11-248N22.2,0,0,0,0,0
RP11-248N22.1,0,0,0,0,0
RP11-148L24.1,0,0,0,0,0
EEF1GP2,0,0.0108554,0.0466242,0.0182496,0.00904723
C11orf98P1,0,0,0,0,0
CTD-3126B10.5,0.0142575,0,0.0141268,0.0232205,0.0235974
AC141586.5,0.999925,0.775341,0.65567,0.749967,1.12378
ENSG00000261318,0,0,0,0,0
COPE,96.1797,89.5773,94.8886,98.1999,100.101
WI2-2334D6.1,0,0,0,0,0
GOLGA6L7P,0,0,0,0,0
DIS3L,9.88497,13.3484,6.98948,8.61488,10.3849
PDPK2P,0.126899,0.105832,0.273663,0.242421,0.196186
ENSG00000227507,1.14103,0.365855,0.930756,0.692099,0.247111
ENSG00000278693,0,0,0,0,0
EVI5L,13.779,11.4545,10.8147,11.9994,12.5123
RP4-631H13.2,0,0.107446,0,0,0
ZNF736P1Y,0,0,0,0,0
CTD-3131K8.2,0.463629,0.701953,0.549933,0.668426,0.615765
ZYG11A,2.25818,1.95182,2.01358,2.25941,2.10011
RP11-539D10.2,0,0,0,0,0
ENSG00000235507,0,0,0,0,0
SIM2,0.902906,1.14987,0.493869,0.82275,0.714788
ZNF250,3.73057,3.97044,4.79521,4.05186,5.51438
ENSG00000274955,0,0,0,0,0
HSPD1P7,0.0543468,0.0210819,0,0.0167111,0
RP11-791N19.1,0,0,0,0,0
SLC27A1,7.3542,10.0866,5.38077,5.52319,5.25533
ZNF736P5Y,0,0,0,0,0
THUMPD1P1,0.0134946,0.0129015,0.0140082,0,0
VCX,0,0.0184934,0,0,0.00939062
LAMTOR3P1,0,0,0,0,0
C7orf69,0,0.0444862,0,0.343125,0
MPP5,32.9143,32.9953,28.9067,29.907,25.0857
RPL29P28,0,0,0,0,0
RP11-436H11.5,0.187122,0.243694,0.264161,0.14278,0.202146
EIF4A1P5,0.0361133,0,0.012522,0.0192206,0.039385
ENSG00000280971,0,0,0,0,0
RP4-801G22.3,0,0,0,0,0
ENSG00000281351,0,0,0,0,0
RPS7P11,1.48969,1.54395,1.21978,1.10627,1.00065
ENSG00000280647,0,0,0,0,0
ENSG00000278666,0,0,0,0,0
RP11-603J24.9,9.04106e-07,3.91263e-21,1.49847e-06,1.33952e-19,6.6072e-16
LAMC2,4.27754,4.19928,18.1659,12.9684,13.3188
ENSG00000281498,0,0,0,0,0
PA2G4,84.0191,80.6722,114.726,90.2298,85.7909
CHI3L2,0.0334728,0.223789,0.236012,1.42304,0.595323
LAPTM4A,86.6921,73.0281,57.7166,71.6616,54.6507
RP11-696D21.2,0.0227735,0,0,0.0554398,0.074386
AP000697.6,0,0,0,0,0
RP11-256L6.2,0.049152,0,0.105074,0.0770735,0.200485
LINC01593,0,0,0,0,0
RP11-256L6.3,7.97526e-109,0.0401355,1.61445e-76,6.87651e-208,0.0387631
RP11-1338A24.1,0,0,0,0,0
ACTP1,0,0,0,0,0
RP11-694O4.1,0,0,0,0,0
CTD-2653D5.1,0.00800717,0,0,0,0
LINC01594,0,0,0,0,0
LA16c-395F10.1,2.53884e-235,0,0,1.08134e-220,0
LTA4H,52.7363,52.7248,50.3401,51.2609,48.1559
LA16c-431H6.7,0.338233,0.459292,0.25021,0.386386,0.292805
SETD6P1,0,0,0,0,0
RP11-20I23.5,0.0344157,0.066537,0.0764666,0.0510941,0.113218
LA16c-431H6.6,0.151225,0.237792,0.171494,0.245429,0.286486
RP11-588F10.1,0,0,0,0,0
RP11-20I23.7,0,0,0,0,0
NCOA3,9.28462,9.51513,8.05614,9.96402,10.382
RP11-20I23.8,0.00675582,0.0032557,0.00516639,0.0028809,0.00276164
RP11-20I23.13,0.0132081,0,0.0134463,0,0.0107992
RP11-20I23.10,0.0570042,0.0533867,0.0141159,0.0232244,0.0353849
CTD-3126B10.2,0.0418609,0.0268076,0.0555844,0.0594701,0.0346058
ZNF195,8.66826,8.81401,10.2756,9.87005,11.4837
RP11-20I23.11,0,0,0,0,0
CRAMP1,3.59055,4.22327,4.12258,3.88503,3.88669
KIAA0513,1.12545,1.34617,2.24222,2.40263,3.6254
RP11-20I23.6,0,0,0,0,0
EEF1B2P8,0,0,0,0,0
CTD-3126B10.1,0.174873,0.299987,0.206452,0.168407,0.0960413
PIFO,0.133722,0.0866509,0.0998777,0.140468,0.529042
NAALADL2-AS1,0,0,0,0,0
NAALADL2-AS2,0,0,0,0,0
ARF1P2,0,0.0344309,0.0363283,0.0601776,0
PDPK1,9.85429,10.8531,9.89798,9.64014,8.80338
USP39,44.3451,42.9458,35.2401,38.8409,32.8048
SPPL3,20.7113,22.1314,21.7551,20.0184,21.6849
NAALADL2-AS3,0,0,0,0,0
FBXO8,12.9402,13.3946,15.847,14.2444,13.9432
RP11-643M14.1,0,0,0.0304218,0.00917869,0.0613162
CTD-3131K8.3,0.0529908,0.100965,0.0539521,0.127832,0.174125
BPY2C,0,0,0,0,0
ENSG00000281644,0,0,0,0,0
RPS29P26,0,0,0,0,0
PGLS,48.3134,45.5564,49.79,42.8312,41.7875
C2CD4A,0.00715634,0.0135873,0,0.0058591,0
AC004383.3,0,0,0,0.271072,0.536685
RP11-744O11.2,0,0,0,0,0
NPM1P47,0,0,0,0,0
THUMPD1,12.0713,13.0498,13.1321,13.3508,13.8122
PBDC1,10.88,9.63747,10.8157,14.772,15.4516
PLA2G2F,0,0,0,0.00374498,0
C2CD4B,0,0,0,0,0
LINC01787,0.210869,0.0858133,0.0949292,0.0602306,0.0757927
MIR503HG,1.06096,2.42212,4.83226,3.99932,5.68684
NAALADL2,0.191673,0.262947,1.22797,0.464041,0.352449
RP11-299H22.1,0,0,0,0,0
ENSG00000276379,0,0,0,0,0
WDR83OS,103.488,93.0239,101.688,104.411,99.1148
COX5AP2,0,0,0,0,0
RP4-736I12.1,0,0,0,0,0
RP11-1033H12.1,0,0,0,0,0
CLCN6,5.72542,5.64511,6.26414,5.15351,5.31629
ENSG00000227074,0,0,0,0,0
RP11-308D13.3,0,0,0.052894,0.0263462,0.121728
ENSG00000275626,0,0,0,0,0
RER1,57.4493,53.0227,68.0911,55.8325,66.8197
RP11-143N13.3,0,0,0,0,0
CTD-2192J16.24,5.45802e-68,9.19617e-148,9.79361e-95,3.52531e-81,1.07921e-68
RP11-143N13.4,0,0,0,0,0
MCEE,3.49283,4.22928,1.33686,2.74054,2.47307
RP11-352G18.2,0.0537435,0.156077,0,0.0903586,0.0438905
WDR83,8.70659,9.64373,8.87331,9.50301,9.11899
RP11-603J24.17,10.2925,8.52405,10.8698,11.0821,11.4421
AC004381.6,2.20672,2.7483,2.30688,2.20756,2.2883
LGALS13,0,0,0,0,0
ENSG00000266027,0,0,0,0,0
ERBB3,1.35653,1.03769,1.43771,1.31481,1.94297
SLC17A1,0,0,0,0,0
RP11-930P14.1,0,2.00384e-169,9.30014e-206,2.58382e-216,1.18484e-214
RP1-159A19.3,1.60516,1.67115,1.97653,1.91927,1.03515
RP11-288L9.1,0,0,0,0,0
PABPC4,81.1096,60.78,65.7796,58.2732,60.6881
HN1L,42.2665,43.9642,40.2956,41.5355,38.6814
RP11-123O10.1,0,0,0,0,0
RP11-606P2.1,0.0243561,0,0,0.0193745,0.0199484
RP11-123O10.3,0,0,0,0,0
CEP44,8.41536,8.96872,10.3655,9.95168,9.3827
RP11-39C10.1,0.0137384,0.0264704,0,0.00547629,0.00562406
RP11-218F10.3,0.334615,0.304312,0.407793,0.364904,0.216887
ANK1,2.72308,3.01386,2.38372,3.64061,3.26388
RP11-123O10.4,0.799402,0.541486,1.27386,1.23381,0.667843
MARCH1,0.375887,0.336612,0.699059,1.05572,2.64388
RP11-1O10.1,0,0,0,0,0
ENSG00000276286,0,0,0,0,0
RP11-299H22.3,0,0,0.00877153,0,0.00720548
ZCCHC9,13.9024,19.0821,16.7301,17.6469,16.5376
AXDND1,0.12961,0.338656,0.389549,0.18006,0.222459
LYRM4,38.6818,33.9568,28.9301,34.2914,31.7959
ZNF16,1.76568,2.48607,2.53398,2.82529,2.85887
EPHX3,0.0290174,0.0367935,0.0763202,0.0334424,0.0780924
UBE2V1P2,0.274727,0.169254,0.325107,0.360733,0.16715
SLC39A2,0.035048,0,0,0.027372,0.0320747
PEX10,10.9802,9.83656,11.3464,11.2185,12.5383
TPM4P1,0,0,0,0,0
UBE2WP1,0.117688,0,0.12161,0,0
IFI6,23.394,15.2579,12.6027,15.9974,15.2009
CCDC88C,8.17312,8.16795,6.26228,6.84906,5.63579
SPCS2P2,0,0,0,0,0
ANP32C,0.0185973,0.0176996,0.0566723,0.0293567,0.0150811
CHIAP3,0,0,0,0,0
ODF2-AS1,0.104506,0.151082,0.105581,0.304544,0.216466
RPL10P16,0.990933,0.590743,1.17133,0.867096,1.13235
CHEK2P2,0,0,0,0,0
MAN2B1,21.0646,18.5964,15.0948,17.2289,18.2009
TMED10P1,0.145278,0.164106,3.34082e-53,0.0911387,0.0792916
RP5-1047A19.4,1.11814e-79,1.7226e-172,9.39879e-47,1.26179e-196,6.45147e-193
CTNNAL1,153.885,156.651,117.434,128.961,104.414
ENSG00000278726,0,0,0,0,0
ZNF252P,7.54276,10.5273,13.7061,10.9106,12.9783
LINC00629,0.0557133,0.0804716,0.0876783,0.0339507,0.0904272
IL1R2,0.0685508,0.0719558,0.0332043,0.0997471,0.0413118
RP11-334G22.1,0,0.147681,0,0.134303,0.126944
DENND2D,6.15844,3.50147,3.12803,4.36685,3.59508
AL672294.1,0,0,0,0,0
ABHD17B,10.8929,9.69417,11.5983,10.9602,11.968
FAM71E1,0.280533,0.32677,0.0667613,0.380282,0.193951
ENSG00000074660,0.586706,0.787584,0.338146,0.412299,0.285817
VRK2,10.8199,8.84661,10.0621,8.58852,9.37482
TMEM88,0.0976992,0.139461,0.0461337,0.130005,0.139489
PGBD2,1.50071,1.66512,2.16896,1.92722,2.02359
ODF2,23.8832,24.1542,17.0131,20.4382,18.2783
CTR9,10.8251,12.8494,14.303,13.4369,15.1754
RP5-1047A19.6,0,0,0,0,0
MARS,51.0663,58.9804,91.7873,63.9527,56.7875
RP11-152C15.1,0.1861,0,0.122627,0.105758,0.0513857
ZNF252P-AS1,0.12016,0.0827108,0.0738638,0.0711368,0.157679
RPL23AP25,0.226131,0,0,0.0942034,0.061433
CLIC1P1,0.174803,0.0695429,0.180147,0.118191,0.171608
TMEM143,1.98297,2.57566,1.79971,2.00628,2.69605
RP11-252I14.1,0,0,0,0,0
MTHFR,5.59084,4.83152,5.55363,4.46091,4.65054
RPL12P33,0.225862,0.061929,0,0.0261218,0
GGCX,32.2838,27.2439,26.3385,31.0663,24.8077
RPL21P133,0,0,0,0,0
RP11-308B5.2,0,0.0150908,0,0,0
RPS7P12,0,0,0,0,0
RP11-288L9.4,0,0.0366021,0,0.0312416,0.0305065
POLG,16.5325,21.8778,13.3815,17.9063,16.6369
CHMP1AP1,0,0,0,0,0
CTD-2545M3.2,3.1973e-17,3.31939e-05,0.000405244,0.319861,3.65718e-43
PLAC1,0.12549,0.631717,1.26012,0.494213,0.36689
CTD-2545M3.8,0,0,0.00136671,0,0
AC004623.2,3.10663e-44,0.12828,3.27834e-10,7.45633e-39,5.36439e-87
LINC02004,0.110414,0,0,0,0.181922
EMC10,26.0263,28.9247,12.9346,34.7704,30.3551
RP11-759L5.2,0.0131407,0.0124719,0.0135627,0.010441,0.0213723
EEF1A1P11,2.66824,1.72086,2.17729,1.73732,1.37921
MUM1,12.4341,13.7984,11.2738,11.5806,13.2631
RP11-375I20.6,0.220698,0.229573,0.238801,0.227424,0.281744
NCOA2,3.28356,3.9386,4.0547,3.86089,3.95614
MPHOSPH10,12.5991,11.6755,9.03043,10.9363,9.08685
RP11-123O1.1,0,0,0,0,0
NPHS2,0,0,0.0125221,0,0.00903935
RP11-3P22.1,0,0,0,0,0
DCUN1D3,6.70975,6.77687,6.97356,7.21506,6.40167
MTCO2P25,0,0,0,0,0
IKBKAP,14.3472,14.8434,13.612,14.4488,15.7621
RP11-498C9.12,0.248092,0.272996,0.0667462,0.128102,0.264398
MTCO1P25,0,0,0,0,0
MAFG,17.8889,19.1211,14.0581,14.5746,16.8114
RP11-3P22.2,0,0,0,0,0
HNRNPA1P54,0.00332828,0.00163373,0.00884012,0.0026284,0.00296506
RP11-545A16.1,0,0.00562627,0,0,0
MEF2AP1,0,0,0,0,0.0129998
RP5-1173A5.1,0.0195224,0,0,0,0
LINC01948,0.041927,0.0717507,0.040888,0.109401,0.0528488
PCP4L1,0.0107702,0,0,0,0
RP11-94H18.2,0,0,0,0,0
DDX50,26.9513,26.3665,27.2544,28.7548,27.7448
RP11-489E7.1,0,0,0,0,0
ACSM3,1.01125,0.47569,1.01848,0.387203,0.358417
TOLLIP-AS1,0.660945,0.673028,0.351477,0.463129,0.57288
KCNQ4,0.038299,0.117966,0.0746647,0.107045,0.0281043
RP5-942I16.1,0,0,0,0,0
LINC02209,0,0,0,0,0
RP11-690I21.2,0.196787,0.0949584,0.0697475,0.149338,0.141857
RP11-690I21.3,8.22796e-08,1.42193e-08,4.59789e-08,3.7135e-05,8.43447e-09
SIRT7,10.3072,11.4444,10.7105,10.1135,11.4357
INTS11,43.6065,40.5798,40.5259,42.8156,43.6121
ENSG00000280891,0,0,0,0,0
TMEM150B,0,0,0,0,0.025949
RP11-322A17.1,0,0,0.177679,0,0.0439622
RP11-299H22.4,0,0,0,0,0
MAP2K1P1,0,0.0233095,0.0366015,0,0.0302924
GOLGA2P11,0,0,0,0,0
ENSG00000280534,0,0,0,0,0
AC005176.1,0,0,0,0,0
RP11-322A17.3,0,0,0,0,0
AP002530.2,0,0,0,0,0
MPZ,0.147772,0.101015,0.138603,0.092982,0.123963
ENSG00000280994,0,0,0,0,0
EEF1A1P6,1.48185,1.11528,1.07373,0.746382,0.939019
CCDC8,4.38502,4.81105,3.7903,5.27762,3.0491
NPPA,0.0627737,0.020241,0.060938,0.017943,0.182216
AC002480.4,0.283452,0.466353,0.19855,0.392192,0.155662
BCL2L13,15.2446,18.1154,13.0055,15.5916,15.0661
BTF3P12,0.0335982,0,0.107161,0,0.0272341
AC002480.3,0.598741,0.585737,0.555986,1.0556,0.447664
ENSG00000277742,0,0,0,0,0
ENSG00000275938,0,0,0,0,0
RP1-111J24.1,0,0,0,0.00888156,0
RAPGEF6,9.2921,10.3749,10.5668,8.97307,11.2669
ENSG00000278755,0,0,0,0,0
STEAP1B,0,0.0309856,0,0,0.030041
CITF22-49D8.1,0.00258303,0.00251298,0.012996,0.00216518,0
LINC01644,0,0,0,0.0276273,0
AC093616.4,0.941004,0.739684,0.607491,0.790032,0.661648
C1orf167,0.00496088,0.093689,1.7069e-73,0.0589113,0.00928394
LINC00898,0,0,0,0.0105583,0
SARAF,56.2261,59.0126,75.4371,66.6219,73.9961
RP11-706O15.8,0,0,0,0,0
SLC2A3,13.0737,17.6725,17.944,14.2636,8.00836
NPPC,0,0.0203929,0.0211027,0,0
AC002480.5,0.090149,0.0360985,0.0538352,0.181907,0.0660156
ENSG00000275699,0,0,0,0,0
AC002480.2,0,0,0,0,0.0286332
IRF6,0.064641,0.166628,0.129888,0.1176,0.0736571
RPL26P19,1.4745,1.56587,1.26672,1.60078,0.959176
TMEM150A,2.84202,3.48581,2.27493,3.00969,3.96028
TERB1,0.0367118,0.0458652,0,0.0208214,0.105254
ACTN1,115.867,118.952,94.3038,103.816,105.262
MAT2A,55.8193,64.9485,56.9598,61.3359,61.2267
ENSG00000235708,0,0,0,0,0
AC004623.3,0.0369999,0.0700983,0.0903409,0.11546,0.138967
RP11-56N19.5,0,0,0,0,0
NPPA-AS1,0.392689,0.547851,0.616005,0.562278,0.65248
AC004381.7,0,0,0,0,0.0498588
BTAF1,14.3772,15.0045,14.2989,15.2438,17.8838
LYRM1,22.909,24.7523,14.1369,18.5736,14.954
RP11-191L9.4,0,0.00991354,0,0.0367558,0
ENSG00000230509,0,0,0,0,0
FMR1,12.6961,8.68103,17.0609,16.0017,17.4148
ENSG00000235561,0,0,0,0,0
RP11-191L9.5,0,0,0,0,0
ASXL3,0,0,0,0,0.00337983
RP13-455A7.1,0,0,0,0,0
ENSG00000170909,0.162231,0.12931,0.0819021,0.0977781,0.196451
RP11-489E7.4,0.0634782,0.0968671,0.0558422,0.093731,0.0525477
CTA-280A3.2,0,0,0,0,0
RP11-333A23.1,0,0,0,0,0
CTA-280A3__B.2,0,0,0,0,0
AC079199.2,0,0,0,0,0
CYB5D1,1.75407,2.51601,2.29448,2.15703,2.12882
NOD1,2.32432,1.96262,1.77328,2.02141,1.52503
KRT8P34,0,0,0.0116493,0.0193191,0
LL22NC03-27C5.1,0,0,0,0,0
LINC02168,0,0,0,0,0
SNX13,18.4896,18.42,18.5319,15.592,16.2038
RP11-333A23.3,0,0,0,0,0
ENSG00000275288,0,0,0,0,0
RP11-333A23.4,0,0,0,0,0
LLNLF-187D8.1,0,0,0,0,0
C9orf85,7.12856,6.43075,7.93969,6.62394,6.98424
LL22NC03-121E8.4,0,0,0,0,0
FANCL,12.1074,10.6688,9.75343,8.92067,9.34614
RP11-435O5.6,0,0,0.0595881,0,0
ARHGAP9,0.095748,0.121806,0.969107,0.200457,0.0523726
CTD-2034I21.1,0,0,0,0,0
RP11-1099M24.6,0.166538,0.134605,0.164736,0.14589,0.11841
LINC02187,0,0,0,0,0
NAA38,143.176,153.105,122.288,137.942,130.116
ACSM1,0,0,0,0,0.00566558
FAM206A,6.04086,7.89133,7.97929,6.43216,7.88482
RPS12P2,0,0,0,0,0
IKZF3,0.0178553,0.0328063,0.0887753,0.0526662,0.0184671
LINC00857,4.20479,4.7469,4.96981,5.01913,5.15902
GAL3ST1,0,0,0,0,0
RP11-40F6.1,0,0,0,0.0309792,0
PTCH1,3.09869,3.8847,1.5987,2.90755,2.25653
RP11-11C20.3,0,0.0583733,0,0,0.0486437
AC139103.1,0.0498468,0.048312,0.0180015,0.0378137,0.0805752
EIF5AP4,0.0857984,0.0826058,0.220193,0.0709608,0.0707449
MTMR11,3.9976,7.22957,10.8123,7.99676,8.06683
RP11-286N3.1,0,0,0,0,0
RP11-165A20.3,0,0.14783,0.150365,0,0
C2orf68,15.8092,16.7167,9.59132,11.5877,10.2071
RP11-471J7.1,0,0,0,0,0
CHD3,21.8904,23.6688,19.5987,20.1259,15.9651
MTMR9LP,0.528611,0.954236,1.41579,0.575991,1.01518
NICN1,5.26611,5.69729,3.50842,5.58344,5.38323
FADS3,30.4516,31.7825,12.3286,19.2949,16.7606
ENSG00000273522,0,0,0,0,0
C12orf43,7.90549,9.05039,7.72813,8.91729,7.91842
CTPS2,6.235,5.45568,2.95732,5.55513,5.65115
